symptom,disease,medicine_1,medicine_2,doctor_1,doctor_2,follow_up
fever,Viral Infection / Influenza,Paracetamol (Crocin/Dolo 650),Electral Powder,General Physician,Infectious Disease Specialist,Do you also have body pain or a sore throat?
headache,Migraine or Tension Headache,Ibuprofen,Rest in a dark room,Neurologist,General Physician,Are you experiencing any sensitivity to light or nausea?
cough,Respiratory Infection,Cough Syrup (Benadryl/Honitus),Warm Salt Water Gargle,Pulmonologist,ENT Specialist,Is it a dry cough or are you coughing up mucus?
stomach ache,Gastritis or Food Poisoning,Antacids (Gelusil/Digene),Probiotics,Gastroenterologist,General Physician,Do you also have vomiting or diarrhea?
fatigue,Anemia or Viral Aftermath,Multivitamin supplements,Proper hydration,General Physician,Endocrinologist,Are you also experiencing dizziness or shortness of breath?
chest pain,Heart Condition,Emergency Care Required,Aspirin,Cardiologist,Emergency Specialist,Are you having difficulty breathing?
rash,Allergic Reaction,Antihistamine (Cetirizine),Hydrocortisone Cream,Dermatologist,Allergist,Is the rash spreading rapidly?
joint pain,Arthritis,Diclofenac,Hot Compress,Rheumatologist,Orthopedist,Do you also have swelling in the joints?
sore throat,Pharyngitis / Tonsillitis,Throat Lozenges (Strepsils),Betadine Gargle,ENT Specialist,General Physician,Are you having trouble swallowing?
back pain,Muscle Strain or Slip Disc,Muscle Relaxants,Hot/Cold Compress,Orthopedist,Physiotherapist,Does the pain shoot down your leg?
toothache,Dental Cavity or Infection,Clove Oil,Painkillers (Combiflam),Dentist,Endodontist,Is there any swelling around your gums?
dizziness,Vertigo or Low Blood Pressure,Meclizine,Hydration with Electrolytes,Neurologist,Cardiologist,Does the spinning happen when you change head positions?
nausea,Motion Sickness or Indigestion,Ondansetron,Ginger Tea,Gastroenterologist,General Physician,Are you also throwing up?
frequent urination,Urinary Tract Infection (UTI) or Diabetes,Cranberry Extract,Antibiotics (Requires Prescription),Urologist,Endocrinologist,Is there a burning sensation when you urinate?
wheezing,Asthma or Bronchitis,Inhaler (Requires Prescription),Steam Inhalation,Pulmonologist,Allergist,Are you experiencing a tight chest?
high blood sugar,Diabetes Mellitus,Metformin (Requires Prescription),Dietary Control,Endocrinologist,Dietician,Are you feeling excessively thirsty?
high blood pressure,Hypertension,Amlodipine (Requires Prescription),Low Sodium Diet,Cardiologist,General Physician,Are you experiencing frequent headaches or blurred vision?
chills,Malaria or Typhoid,Antimalarials (Requires Prescription),Paracetamol,Infectious Disease Specialist,General Physician,Is your fever fluctuating with heavy sweating?
muscle cramps,Electrolyte Imbalance or Dehydration,Magnesium Supplements,Oral Rehydration Salts (ORS),General Physician,Sports Medicine Specialist,Are you drinking enough water daily?
constipation,Dietary Fiber Deficiency or IBS,Laxatives (Dulcolax),Psyllium Husk (Isabgol),Gastroenterologist,Dietician,Do you have severe abdominal pain?
runny nose,Common Cold or Allergic Rhinitis,Nasal Decongestant (Otrivin),Antihistamines (Allegra),ENT Specialist,Allergist,Do you also have itchy or watery eyes?
hair loss,Alopecia or Vitamin Deficiency,Biotin Supplements,Minoxidil,Dermatologist,Trichologist,Are you under excessive stress recently?
blurry vision,Refractive Error or Cataract,Lubricating Eye Drops,Corrective Lenses,Ophthalmologist,Optometrist,Do you see halos around lights?
